Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Discovers 01,,,2018-12-18 18:34:52,2018-12-18 18:34:58,6.032s,FAILED
,,,,,,
Test Cases/Discover/01 Test Brad Pitt and Edward Norton ever been in a movie together,,,2018-12-18 18:34:53,2018-12-18 18:34:55,2.309s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 18:34:53,2018-12-18 18:34:53,0.041s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 18:34:53,2018-12-18 18:34:53,0.002s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-18 18:34:53,2018-12-18 18:34:53,0.067s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_people, com.kms.katalon.core.testobject.ConditionType.EQUALS, 287,819))",,,2018-12-18 18:34:53,2018-12-18 18:34:53,0.002s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-18 18:34:53,2018-12-18 18:34:53,0.000s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-18 18:34:53,2018-12-18 18:34:53,0.010s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-18 18:34:53,2018-12-18 18:34:55,1.489s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""Have Brad Pitt and Edward Norton ever been in a movie together"")",,,2018-12-18 18:34:55,2018-12-18 18:34:55,0.090s,PASSED
verifyElementPropertyValue,,,2018-12-18 18:34:55,2018-12-18 18:34:55,0.076s,PASSED
,,,,,,
Test Cases/Discover/02 Test The Best Drama,,,2018-12-18 18:34:55,2018-12-18 18:34:56,0.695s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 18:34:56,2018-12-18 18:34:56,0.003s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 18:34:56,2018-12-18 18:34:56,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_people, com.kms.katalon.core.testobject.ConditionType.EQUALS, 287, 819))",,,2018-12-18 18:34:56,2018-12-18 18:34:56,0.000s,PASSED
