Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TV Show 04 Get TV On Air and,,,2018-12-11 11:10:32,2018-12-11 11:10:37,4.628s,PASSED
,,,,,,
Test Cases/TV Shows/15 Get TV Airing Today then Get Keywords,,,2018-12-11 11:10:33,2018-12-11 11:10:35,2.350s,PASSED
Statement - response1 = theMovieDB.TVShow.getTVAiringToday(),,,2018-12-11 11:10:33,2018-12-11 11:10:35,1.404s,PASSED
Statement - TVID = theMovieDB.TVShow.getRandomTV(response1),,,2018-12-11 11:10:35,2018-12-11 11:10:35,0.082s,PASSED
Statement - If (TVID >= 0),,,2018-12-11 11:10:35,2018-12-11 11:10:35,0.363s,PASSED
,,,,,,
Test Cases/TV Shows/16 Get TV On Air then Rate TV Show,,,2018-12-11 11:10:35,2018-12-11 11:10:36,0.876s,PASSED
Statement - response1 = theMovieDB.TVShow.getTVOnTheAir(),,,2018-12-11 11:10:36,2018-12-11 11:10:36,0.208s,PASSED
Statement - TVID = theMovieDB.TVShow.getRandomTV(response1),,,2018-12-11 11:10:36,2018-12-11 11:10:36,0.004s,PASSED
Statement - If (TVID >= 0),,,2018-12-11 11:10:36,2018-12-11 11:10:36,0.195s,PASSED
,,,,,,
Test Cases/TV Shows/17 Get TV On Air then Delete Rating,,,2018-12-11 11:10:36,2018-12-11 11:10:37,0.900s,PASSED
Statement - response1 = theMovieDB.TVShow.getTVOnTheAir(),,,2018-12-11 11:10:37,2018-12-11 11:10:37,0.173s,PASSED
Statement - TVID = theMovieDB.TVShow.getRandomTV(response1),,,2018-12-11 11:10:37,2018-12-11 11:10:37,0.005s,PASSED
Statement - If (TVID >= 0),,,2018-12-11 11:10:37,2018-12-11 11:10:37,0.179s,PASSED
