Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Discovers 02,,,2018-12-18 17:30:48,2018-12-18 17:30:55,6.827s,FAILED
,,,,,,
Test Cases/Discover/07 Test What is are the best movies from 2015,,,2018-12-18 17:30:49,2018-12-18 17:30:51,2.971s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 17:30:49,2018-12-18 17:30:50,0.051s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 17:30:50,2018-12-18 17:30:50,0.003s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-18 17:30:50,2018-12-18 17:30:50,0.069s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(primary_release_year, com.kms.katalon.core.testobject.ConditionType.EQUALS, 2015))",,,2018-12-18 17:30:50,2018-12-18 17:30:50,0.004s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-18 17:30:50,2018-12-18 17:30:50,0.003s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-18 17:30:50,2018-12-18 17:30:50,0.030s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-18 17:30:50,2018-12-18 17:30:51,1.586s,PASSED
verifyElementPropertyValue,,,2018-12-18 17:30:51,2018-12-18 17:30:51,0.122s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""What is are the best movies from 2015"")",,,2018-12-18 17:30:51,2018-12-18 17:30:51,0.100s,PASSED
,,,,,,
Test Cases/Discover/08 Test What are the best dramas that were released this year,,,2018-12-18 17:30:51,2018-12-18 17:30:52,0.937s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 17:30:52,2018-12-18 17:30:52,0.006s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 17:30:52,2018-12-18 17:30:52,0.001s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-18 17:30:52,2018-12-18 17:30:52,0.001s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(primary_release_year, com.kms.katalon.core.testobject.ConditionType.EQUALS, 2018))",,,2018-12-18 17:30:52,2018-12-18 17:30:52,0.004s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_genres, com.kms.katalon.core.testobject.ConditionType.EQUALS, 18))",,,2018-12-18 17:30:52,2018-12-18 17:30:52,0.002s,PASSED
