Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01 Discovers,,,2018-12-17 12:18:53,2018-12-17 12:18:58,5.677s,FAILED
,,,,,,
Test Cases/Discover/01 Test Brad Pitt and Edward Norton ever been in a movie together,,,2018-12-17 12:18:53,2018-12-17 12:18:55,2.159s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-17 12:18:54,2018-12-17 12:18:54,0.023s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-17 12:18:54,2018-12-17 12:18:54,0.001s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-17 12:18:54,2018-12-17 12:18:54,0.036s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_people, com.kms.katalon.core.testobject.ConditionType.EQUALS, 287,819))",,,2018-12-17 12:18:54,2018-12-17 12:18:54,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-17 12:18:54,2018-12-17 12:18:54,0.000s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-17 12:18:54,2018-12-17 12:18:54,0.020s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-17 12:18:54,2018-12-17 12:18:55,1.444s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""Have Brad Pitt and Edward Norton ever been in a movie together"")",,,2018-12-17 12:18:55,2018-12-17 12:18:55,0.106s,PASSED
verifyElementPropertyValue,,,2018-12-17 12:18:55,2018-12-17 12:18:55,0.061s,PASSED
,,,,,,
Test Cases/Discover/02 Test The Best Drama,,,2018-12-17 12:18:55,2018-12-17 12:18:56,0.697s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.001s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_people, com.kms.katalon.core.testobject.ConditionType.EQUALS, 287, 819))",,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.000s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.000s,PASSED
Statement - myStr = reqObj.getRestUrl(),,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.013s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.164s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(response1, ""Discover/Movie Discover"")",,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.001s,PASSED
,,,,,,
Test Cases/Discover/03 Test TV Discover,,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.414s,PASSED
sendRequest,,,2018-12-17 12:18:56,2018-12-17 12:18:56,0.183s,PASSED
,,,,,,
Test Cases/Discover/04 Test what movies are in theatres,,,2018-12-17 12:18:56,2018-12-17 12:18:57,0.576s,PASSED
